epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2828.7,1.03419,3.56997,1.19932,0.00441,0.74444,0.35225,0.26416,0.6592,3.41061,1.00624,0.00021671,0.00021671,0.00021671
2,4506.09,0.8145,2.33375,1.07748,0.00457,0.77576,0.40765,0.32295,0.68132,3.37287,1.00648,0.000405531,0.000405531,0.000405531
3,6278.75,0.8514,2.05084,1.08212,0.95829,0.19979,0.52742,0.41941,0.77668,3.15517,1.0861,0.000548143,0.000548143,0.000548143
